query_id,query_duration_ms,read_rows,read_bytes,result_rows,memory_usage,event_time
ee1c7272-7b8b-4d14-b666-fc574df4eff0,9,96818,1840427,1,5870097,2026-08-01 11:36:38
cc9b1ca2-435d-437a-a9e4-51244e52ebb1,7,96818,1840427,1,5868665,2026-08-01 11:36:38
bb2bac22-9f5b-477e-adbf-e7ea1b9f5428,7,96818,1840427,1,5865858,2026-08-01 11:36:38
0ccb4fef-b1fe-4093-bc06-cba1c315a575,6,96818,1840276,1,5866230,2026-08-01 11:36:38
cc5b4eec-e1a0-446d-a623-4640f929b29f,6,96818,1436354,1,5866576,2026-08-01 11:36:38
cf496fc9-3674-4bf8-ae93-58ecf0c6b418,6,96818,1699211,1,5870877,2026-08-01 11:36:38
d777a8b0-2ebb-4be2-acc4-53fdd15e44b7,7,96818,1514700,1,5871388,2026-08-01 11:36:38
101f8f70-b240-49a2-addc-2a0ff9742b0a,6,96818,1436354,1,5871216,2026-08-01 11:36:38
