query_id,query_duration_ms,read_rows,read_bytes,result_rows,memory_usage,event_time
1a17256f-857e-47a4-8076-16fa2d33e807,15,96818,1840427,1,5865938,2026-08-01 09:54:55
a301fd86-8bd8-4f45-b65f-57dc6d965539,15,96818,1840427,1,5865938,2026-08-01 09:54:55
d766375a-5cf7-4c2c-a426-ffd383ab6655,10,96818,1840427,1,5865570,2026-08-01 09:54:55
2bd9d9ed-629f-4a20-affe-1196647d84e1,8,96792,1839871,1,5866006,2026-08-01 09:54:55
5b3b4303-0251-4e0a-aed7-b6405b78e648,4,16011,304392,1,5842560,2026-08-01 09:54:55
88a26a24-4c53-4a3c-ab8f-af1ebcdfe062,5,73355,1295774,1,5842853,2026-08-01 09:54:55
6dee13c4-f6f5-4391-9581-104b9417d07d,5,31655,602148,1,5865556,2026-08-01 09:54:55
b107c82f-4c41-4671-b495-40abb19c8d15,4,16011,304392,1,5843144,2026-08-01 09:54:55
